generation,l_max_kg_per_m,s_max_kg_per_m,constraint,x_00,x_01,x_02,x_03
27,6416.9680674197125,0.0,-8.094462053320417,30.692076436361493,38.10878294027027,8.166325349060166,3.7224125172257008
27,6416.9680674197125,0.0,-8.043391454478883,30.692076436361493,38.41026748255683,8.076268633561655,2.8216566947397976
27,6416.9680674197125,0.0,-8.087598466355924,30.491543614580465,38.10848068635786,8.113402261753325,6.85284086313031
27,6416.9680674197125,0.0,-8.09296372772518,30.491543614580465,38.12027010316706,8.166325349060166,5.9117587002515375
27,6416.9680674197125,0.0,-8.119798113615914,30.690817795488037,38.10848068635786,8.360266224079936,8.516019594292084
28,6416.9680674197125,0.0,-8.055279729742402,30.46741047564085,38.40918075436836,8.166325349060166,6.85284086313031
28,6416.9680674197125,0.0,-8.118586752974256,30.690817795488037,38.11797045233068,8.360468891800036,12.141005972295666
28,6416.9680674197125,0.0,-8.088135758616819,30.692076436361493,38.15728453299782,8.166325349060166,3.7224125172257008
28,6416.9680674197125,0.0,-8.094501477743773,30.692076436361493,38.10848068635786,8.166325349060166,3.674427167408999
29,6416.9680674197125,0.0,-8.120046953852022,30.690817795488037,38.11808681449661,8.371780127362168,12.141005972295666
29,6416.9680674197125,0.0,-8.119734568532465,30.690817795488037,38.10896786533099,8.360266224079936,4.621636941310037
29,6416.9680674197125,0.0,-8.099427241740962,30.692076436361493,38.07071649571273,8.166325349060166,4.979832559388136
29,6416.9680674197125,0.0,-8.09473874190692,30.692076436361493,38.10848068635786,8.168144374310959,6.871797108641075
29,6416.9680674197125,0.0,-8.042853142638972,30.692076436361493,38.40857417461304,8.070448268178556,3.842859434255483
29,6416.9680674197125,0.0,-8.119798113615914,30.690817795488037,38.10848068635786,8.360266224079936,8.486575855322378
29,6416.9680674197125,0.0,-8.094462053320417,30.692076436361493,38.10878294027027,8.166325349060166,2.260200118509247
29,6416.9680674197125,0.0,-8.167970551051166,30.69447003554976,37.54521779100119,8.166325349060166,3.7551746205688903
30,6416.9680674197125,0.0,-8.094463249683347,30.692076436361493,38.10878294027027,8.166334521175974,6.862476398081539
30,6416.9680674197125,0.0,-8.113317970079077,30.690817795488037,38.15816178680696,8.360266224079936,11.486823489904715
30,6416.9680674197125,0.0,-8.166532975387724,30.692076436361493,37.5562392044209,8.166325349060166,3.4607923188972407
30,6416.9680674197125,0.0,-8.09473874190692,30.692076436361493,38.10848068635786,8.168144374310959,3.880335541869664
30,6416.9680674197125,0.0,-8.044458720099172,30.692076436361493,38.38987105604679,8.064054576807143,4.803463865384029
30,6416.9680674197125,0.0,-8.09461590215366,30.692076436361493,38.10760343254872,8.166325349060166,3.4383931249297084
30,6416.9680674197125,0.0,-8.094501477743773,30.69105609124358,38.10848068635786,8.166325349060166,4.50098495166813
30,6416.9680674197125,0.0,-8.119121334451457,30.692118366214096,38.10848068635786,8.355077583819076,8.360238900903486
30,6416.9680674197125,0.0,-8.094501477743773,30.692076436361493,38.10848068635786,8.166325349060166,6.6658891908108
30,6416.9680674197125,0.0,-8.09296372772518,30.693829050904316,38.12027010316706,8.166325349060166,5.9117587002515375
31,6416.9680674197125,0.0,-8.094462053320417,30.692076436361493,38.10878294027027,8.166325349060166,3.7844256382209
31,6416.9680674197125,0.0,-8.041398158629924,30.693763168879205,38.42554941739885,8.076268633561655,8.93152529020321
31,6416.9680674197125,0.0,-8.119762432828516,30.690746447703365,38.10895690678134,8.360468891800036,7.103306535227711
31,6416.9680674197125,0.0,-8.093408198258157,30.690817795488037,38.11111426038084,8.160577113693435,11.486823489904715
31,6416.9680674197125,0.0,-8.1199026100835,30.69212000539692,38.10249090651219,8.355077583819076,8.360238900903486
31,6416.9680674197125,0.0,-8.094501477743773,30.689306204961664,38.10848068635786,8.166325349060166,4.50098495166813
31,6416.9680674197125,0.0,-8.044458720099172,30.692076436361493,38.38987105604679,8.064054576807143,2.0690706440813376
31,6416.9680674197125,0.0,-8.092905045168756,30.692076436361493,38.12072000276629,8.166325349060166,5.904559640919072
31,6416.9680674197125,0.0,-8.094501477743773,30.692076436361493,38.10848068635786,8.166325349060166,2.368315055756047
31,6416.9680674197125,0.0,-8.11452567397458,30.692076436361493,38.154650958974834,8.366014459446667,3.4383931249297084
31,6416.9680674197125,0.0,-8.053610937601093,30.719184936027187,38.32609774657013,8.070448268178556,3.813407963485665
31,6416.9680674197125,0.0,-8.087455001413488,30.491543614580465,38.10958058424985,8.113402261753325,4.057899930731897
32,6416.9680674197125,0.0,-8.099427241740962,30.486837183669213,38.07071649571273,8.166325349060166,2.088276953338324
32,6416.9680674197125,0.0,-8.096306665825153,30.692076436361493,38.10848068635786,8.180165124350763,8.574936481186285
32,6416.9680674197125,0.0,-8.11834750965701,30.69447003554976,38.11128906922461,8.351953309928406,11.2501618591374
32,6416.9680674197125,0.0,-8.044458720099172,30.692076436361493,38.38987105604679,8.064054576807143,8.915114023623222
32,6416.9680674197125,0.0,-8.094462053320417,30.692076436361493,38.10878294027027,8.166325349060166,2.1956576416269296
32,6416.9680674197125,0.0,-7.911148493133119,30.491543614580465,39.51418690170618,8.166325349060166,7.333210337881082
33,6416.9680674197125,0.0,-8.095652355490298,30.692127418563043,38.10848068635786,8.175148745116882,10.92966202398804
33,6416.9680674197125,0.0,-8.117485475799565,30.69447003554976,38.11794020592156,8.351995520384929,9.075545795040956
33,6416.9680674197125,0.0,-7.943587069043858,30.491543614580465,39.2111314545506,8.11196565055357,2.371285307611718
33,6416.9680674197125,0.0,-8.09473874190692,30.692076436361493,38.10848068635786,8.168144374310959,4.139257528853712
33,6416.9680674197125,0.0,-8.119448786831704,30.690817795488037,38.111319315633736,8.360426681343515,12.141005972295666
33,6416.9680674197125,0.0,-8.11907816326768,30.692078599618,38.10881166543347,8.355077583819076,8.360238900903486
33,6416.9680674197125,0.0,-8.11860781144603,30.690766813286483,38.10878294027027,8.35144282802322,3.7844256382209
33,6416.9680674197125,0.0,-8.094463249683347,30.692076436361493,38.10878294027027,8.166334521175974,7.870995770511954
33,6416.9680674197125,0.0,-8.094462053320417,30.501255083587765,38.10878294027027,8.166325349060166,2.2074044923716727
33,6416.9680674197125,0.0,-8.044458720099172,30.692076436361493,38.38987105604679,8.064054576807143,3.6495029382873048
34,6416.9680674197125,0.0,-8.094501477743773,30.691953209447448,38.10848068635786,8.166325349060166,2.2494525181171845
34,6416.9680674197125,0.0,-8.094501477743773,30.692076436361493,38.10848068635786,8.166325349060166,9.17441573268329
34,6416.9680674197125,0.0,-8.118611288648474,30.69207773878263,38.1087562817182,8.35144282802322,3.7844256382209
34,6416.9680674197125,0.0,-8.041398158629924,30.46530217120884,38.42554941739885,8.076268633561655,8.93152529020321
35,6416.9680674197125,0.0,-7.938327002734347,30.491543614580465,39.2111314545506,8.071638475513994,2.362422434172853
35,6416.9680674197125,0.0,-8.094462053320417,30.692076436361493,38.10878294027027,8.166325349060166,5.410386035977925
35,6416.9680674197125,0.0,-8.093448361602167,30.690817795488037,38.11111426038084,8.160885032664188,11.486823489904715
35,6416.9680674197125,0.0,-8.09385789192618,30.692076436361493,38.10924271627035,8.162153221037787,6.622741631816875
35,6416.9680674197125,0.0,-8.042853142638972,30.69166169980599,38.40857417461304,8.070448268178556,3.813407963485665
35,6416.9680674197125,0.0,-8.095034494123087,30.69192659059636,38.10855453272509,8.170485654335499,6.871797108641075
35,6416.9680674197125,0.0,-8.093238362296365,30.692076436361493,38.13104483541598,8.179205613021514,8.574936481186285
35,6416.9680674197125,0.0,-8.094421889976402,30.501255083587765,38.10878294027027,8.166017430089413,2.167910669575715
35,6416.9680674197125,0.0,-8.044458720099172,30.692076436361493,38.38987105604679,8.064054576807143,4.887302390018828
35,6416.9680674197125,0.0,-8.118584159080761,30.69046193728536,38.11799033884749,8.360468891800036,12.141005972295666
36,6416.9680674197125,0.0,-8.093238362296365,30.692076436361493,38.13104483541598,8.179205613021514,8.645763350580934
36,6416.9680674197125,0.0,-8.044458720099172,30.692076436361493,38.38987105604679,8.064054576807143,2.2821985250414043
36,6416.9680674197125,0.0,-8.044458720099172,30.69183395382754,38.38987105604679,8.064054576807143,4.887302390018828
36,6416.9680674197125,0.0,-8.135347502310292,30.692076436361493,37.79532783134788,8.166325349060166,5.48867111887855
36,6416.9680674197125,0.0,-8.094501477743773,30.689548687495616,38.10848068635786,8.166325349060166,4.50098495166813
36,6416.9680674197125,0.0,-8.041398158629924,30.46327546402038,38.42554941739885,8.076268633561655,8.93152529020321
36,6416.9680674197125,0.0,-8.132594602948096,30.692076436361493,37.81226126510232,8.162153221037787,7.543321059827307
36,6416.9680674197125,0.0,-8.117716963205996,30.693829050904316,38.12027010316706,8.356100154413108,5.885693385399742
36,6416.9680674197125,0.0,-8.093406684139374,30.690817795488037,38.10930217263135,8.158753417699952,12.141005972295666
37,6416.9680674197125,0.0,-7.938327002734347,26.46330419578495,39.2111314545506,8.071638475513994,2.362422434172853
37,6416.9680674197125,0.0,-8.093238362296365,30.6895600298386,38.13104483541598,8.179205613021514,6.897466626620193
37,6416.9680674197125,0.0,-8.08745715558721,30.499723832971902,38.10956406891798,8.113402261753325,4.057899930731897
37,6416.9680674197125,0.0,-8.0944930526827,30.692076436361493,38.10855445060852,8.166334521175974,6.871563937636435
37,6416.9680674197125,0.0,-8.087455001413488,30.491543614580465,38.10958058424985,8.113402261753325,4.049919080283027
37,6416.9680674197125,0.0,-8.094460856087487,30.501255083587765,38.10878294027027,8.16631617027439,2.1399773290694686
37,6416.9680674197125,0.0,-8.044710898473042,30.69182753631385,38.38793768851375,8.064054576807143,3.1639778739829527
37,6416.9680674197125,0.0,-7.943587069043858,30.491543614580465,39.2111314545506,8.11196565055357,3.641151537835148
