section,design_class,item,metric,value_1h,value_0p5h,absolute_change,relative_change
baseline,uniform_baseline,uniform_intermediate,mean_residual_mass_kg_per_m,188.9763412172947,74.55279115561952,-114.42355006167519,-0.6054914034456044
frontier,uniform,complete_front,nondominated_design_rows,2912.0,2910.0,-2.0,-0.0006868131868131869
frontier,uniform,complete_front,unique_objective_pairs,2.0,2.0,0.0,0.0
frontier,uniform,complete_front,minimum_l_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
frontier,uniform,complete_front,maximum_l_max_kg_per_m,6416.968118859608,6416.968067419715,-5.143989255884662e-05,-8.016230033567359e-09
frontier,uniform,complete_front,minimum_s_max_kg_per_m,0.0,0.0,0.0,
frontier,uniform,complete_front,maximum_s_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
descriptive_knee,uniform,front_specific_normalization,l_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
descriptive_knee,uniform,front_specific_normalization,s_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
frontier,geometry,complete_front,nondominated_design_rows,320.0,155.0,-165.0,-0.515625
frontier,geometry,complete_front,unique_objective_pairs,15.0,6.0,-9.0,-0.6
frontier,geometry,complete_front,minimum_l_max_kg_per_m,159.67537858397307,152.4485520843018,-7.226826499671262,-0.04525949187507755
frontier,geometry,complete_front,maximum_l_max_kg_per_m,6416.968118859599,6416.968067419712,-5.143988710187841e-05,-8.016229183170717e-09
frontier,geometry,complete_front,minimum_s_max_kg_per_m,0.0,0.0,0.0,
frontier,geometry,complete_front,maximum_s_max_kg_per_m,122.35157505748188,123.0760779610316,0.7245029035497197,0.005921484077416589
descriptive_knee,geometry,front_specific_normalization,l_max_kg_per_m,175.32244227112133,159.97757401991475,-15.344868251206577,-0.08752369663820354
descriptive_knee,geometry,front_specific_normalization,s_max_kg_per_m,105.13382114693334,65.76697698480363,-39.36684416212971,-0.37444509989902525
frontier,surface,complete_front,nondominated_design_rows,1731.0,270.0,-1461.0,-0.8440207972270364
frontier,surface,complete_front,unique_objective_pairs,2.0,2.0,0.0,0.0
frontier,surface,complete_front,minimum_l_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
frontier,surface,complete_front,maximum_l_max_kg_per_m,6416.9681188596,6416.968067419712,-5.1439888011373114e-05,-8.01622932490349e-09
frontier,surface,complete_front,minimum_s_max_kg_per_m,0.0,0.0,0.0,
frontier,surface,complete_front,maximum_s_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
descriptive_knee,surface,front_specific_normalization,l_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
descriptive_knee,surface,front_specific_normalization,s_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
frontier,joint,complete_front,nondominated_design_rows,1928.0,1341.0,-587.0,-0.30446058091286304
frontier,joint,complete_front,unique_objective_pairs,8.0,6.0,-2.0,-0.25
frontier,joint,complete_front,minimum_l_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
frontier,joint,complete_front,maximum_l_max_kg_per_m,6416.9681188596,6416.968067419712,-5.1439888011373114e-05,-8.01622932490349e-09
frontier,joint,complete_front,minimum_s_max_kg_per_m,0.0,0.0,0.0,
frontier,joint,complete_front,maximum_s_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
descriptive_knee,joint,front_specific_normalization,l_max_kg_per_m,3210.6359712948574,4547.373335990415,1336.737364695558,0.41634659819638425
descriptive_knee,joint,front_specific_normalization,s_max_kg_per_m,39.99950000321371,12.279773014894408,-27.7197269883193,-0.6930018371752695
frontier_metric,uniform,zero_origin_1p05_reference,normalized_hypervolume_fraction,0.4024634380296296,0.7011180116246566,0.298654573595027,0.7420663478331662
frontier_metric,geometry,zero_origin_1p05_reference,normalized_hypervolume_fraction,0.2666681210261313,0.5039043486837729,0.23723622765764157,0.8896310018039028
frontier_metric,surface,zero_origin_1p05_reference,normalized_hypervolume_fraction,0.4024634380296296,0.7011180116246566,0.298654573595027,0.7420663478331662
frontier_metric,joint,zero_origin_1p05_reference,normalized_hypervolume_fraction,0.611445991770802,0.7616551708559025,0.15020917908510045,0.24566221891500392
constructability,uniform,all_objective_groups,feasible_design_rows,2912.0,2910.0,-2.0,-0.0006868131868131869
constructability,geometry,all_objective_groups,feasible_design_rows,0.0,0.0,0.0,
constructability,surface,all_objective_groups,feasible_design_rows,1452.0,254.0,-1198.0,-0.8250688705234159
constructability,joint,all_objective_groups,feasible_design_rows,9.0,0.0,-9.0,-1.0
constructability,joint,selected_knee_mapping,l_max_percent_change,0.3637245135117301,-98.27857106412374,-98.64229557763547,-271.2005705231475
constructability,joint,selected_knee_mapping,s_max_percent_change,11.030012005022948,537.4694412764242,526.4394292714012,47.727910815660614
constructability,joint,selected_knee_mapping,continuous_slope_transitions,23.0,23.0,0.0,0.0
constructability,joint,selected_knee_mapping,mapped_slope_transitions,6.0,6.0,0.0,0.0
robustness,joint_and_uniform,largest_objective_equivalent_group,candidate_count,14.0,12.0,-2.0,-0.14285714285714285
robustness,joint_and_uniform,largest_objective_equivalent_group,q95_l_min_kg_per_m,103.78625375476228,51.893126877381135,-51.89312687738115,-0.5000000000000001
robustness,joint_and_uniform,largest_objective_equivalent_group,q95_l_max_kg_per_m,7465.520380943313,5816.684154853886,-1648.8362260894273,-0.2208601868261308
robustness,joint_and_uniform,largest_objective_equivalent_group,q95_s_min_kg_per_m,103.78625375476228,51.89312687738114,-51.89312687738114,-0.5
robustness,joint_and_uniform,largest_objective_equivalent_group,q95_s_max_kg_per_m,5482.601431979309,2726.631100607224,-2755.970331372085,-0.5026756669373893
robustness,joint_and_uniform,largest_objective_equivalent_group,intervention_probability_min,0.0,0.0,0.0,
robustness,joint_and_uniform,largest_objective_equivalent_group,intervention_probability_max,0.432,0.216,-0.216,-0.5
robustness,joint_and_uniform,minimum_score_tie,candidate_count,6.0,6.0,0.0,0.0
jma_scenario,joint_vs_uniform,station_winter_median,joint_to_uniform_l_max_ratio,5.10408364020731,8.349062066927527,3.244978426720216,0.6357612169906401
jma_scenario,joint_vs_uniform,station_winter_median,joint_to_uniform_s_max_ratio,0.5,0.2916666666666667,-0.20833333333333331,-0.41666666666666663
jma_scenario,joint_vs_uniform,station_winter_median,l_max_increase_percent,410.408364020731,734.9062066927529,324.4978426720219,0.7906706371501494
jma_scenario,joint_vs_uniform,station_winter_median,s_max_reduction_percent,50.0,70.83333333333333,20.83333333333333,0.4166666666666666
